cluster,n,mean_life_exp,sd_life_exp
1,564,77.50306779880142,2.9908888621238807
2,1110,76.95494179712702,2.3613863534536215
3,474,71.2889641242848,2.5911264130813207
4,790,73.36747027468861,2.6399634779878087
