word,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
across,-0.10823224448591048,0.055090875932547995,-0.023196807144129368,-0.17098216661416288,-0.0452854524568558,0.050459504717287364,0.14660688645039385,0.14165847013803282,0.005524410337394845,-0.17823467843485452,0.030708648068291745,0.12025300519651438,-0.15104962479701567,-0.06454807523926981,0.08431501417432263,0.05243801164971506,-0.13229245166349127,0.12502128025597667,0.1173677785354431,-0.0756820739436698,-0.0024304413254669192,-0.1464483466033726,0.14494545356872973,-0.007775525217726474,0.03063643293582281,-0.03321701270635986,0.04991838480800908,0.013908192638396797,-0.0627370863176248,0.1695202050093664,-0.021175185007998025,0.017897903686268434,-0.059719080170293135,0.0443574342784281,0.06491510114707501,0.1106930865056747,0.010913875245572129,0.05912857708330145,0.048513282283250594,-0.03666401813160719,-0.005472943472495143,0.14380296916008067,0.009320205981984615,-0.10121232269863722,0.00575213713834217,0.03664811398089922,-0.3132771490752242,0.0019783498996560674,-0.11976603924619476,0.04025846688829351
aircraft,0.09040065841135377,0.06824565253389382,0.1204781299464418,0.16135927460569452,-0.11988449579890613,0.0276693023253099,0.12730558209737478,-0.14204443518005644,-0.0647633534453934,-0.051832786657683885,-0.10523710063319465,-0.004495411974561476,0.03041000061400611,-0.09212536002404173,0.042513227742156046,-0.1180772511941453,0.008957316626030418,0.043033154497549006,-0.01844552627362066,0.03701783290486007,-0.17383046531329552,-0.19216508399812965,0.03367140624201376,0.13944095165158576,0.03967636166860885,0.04012945589090551,-0.14798720408635163,0.024658100480319016,-0.02704864399538302,-0.01806441618895281,-0.009729142832884131,0.1843429270294659,-0.23706200366821453,0.018821032420136025,-0.11408003117442667,-0.049928923319624854,-0.07117869298672964,-0.09947892806254917,0.0717906019956585,-0.03484611828510438,-0.2278101543444672,0.06940557780308611,-0.16498732034259425,0.05812731206968096,-0.05044668830642685,-0.1751302347611216,0.05873840787592421,0.011600479633991405,0.007829367121821992,-0.059198564878642314
anonymous,0.006472107538962512,0.06046556340747083,-0.016594874852094835,0.036709904708850556,0.08695998007353525,0.04918663042895602,0.27772081960897627,-0.005459263199121836,0.09117750463945486,0.0052819901001427165,-0.15396144095581007,0.06972850527671903,-0.13796538611478468,-0.16179267721940496,0.05051495772643736,0.11251930846484583,-0.029189233296825583,-0.04828320082789498,0.11607117783697248,0.05671644334394446,0.08304148907864596,-0.017406867119666634,0.03569455457003174,-0.154766526974831,-0.08285598092557514,-0.04906863673240539,-0.09789905875620093,-0.2688990953526258,0.08339100811828537,-0.05731821917897952,-0.05973142193258059,-0.16105281543659944,0.010602329858436788,0.14149222607676815,0.006244989500380121,0.007257671151721975,-0.06248543513893344,-0.06169868223901287,0.0946541561748378,0.13657020520617105,-0.15642560680161252,-0.24125614284384295,0.15348787592764515,0.020226628216749663,-0.1102623600745409,-0.06323044352195945,0.08783041863380756,0.02143819515259658,0.002427632856042563,-0.15037902824481306
appeared,0.11031062064086002,-0.007153963625063548,-0.04875216108404829,-0.061479331133484284,0.10304585388016436,-0.053074431614819485,-0.15445352598429496,-0.15799314581070772,0.06737310112390667,-0.18434204216546982,-0.010504669980971604,-0.156053211444954,-0.1552618491716836,0.15595643333805834,0.13073579388202036,-0.03814060151882806,-0.07415197961793513,0.06986778584590045,-0.029536150027085838,0.0346767484630429,0.03357833219277419,-0.07298041167797545,0.02564498962283588,-0.11600150437431472,-0.09234350599879604,0.05529439213061901,-0.0663505077880734,0.04663015066934174,-0.17204329340538904,0.1467993386887541,-0.061145903513685505,0.18623016264219439,-0.10191153111008525,0.12750106650504073,-0.10027942596477674,0.043541305302530135,-0.10448752627909498,0.095076297760904,0.040588373465112425,0.05135719280125204,-0.019461542560208905,-0.031041706578196254,0.08262412298336572,0.09195644157553892,0.07305127927671697,0.004212939264953603,-0.10612844021335521,-0.004512431266233241,0.061464419275976234,3.9315033467481124e-4
area,-0.0346137271461866,0.027080630824215787,0.014058483430551477,0.032454847175295704,-0.022186331278233665,-0.26383827036578533,-0.15332901590068437,-0.14875106221122117,0.0759150377050834,0.012611379908431872,0.005550061096858024,-0.03493966373515215,0.037601339648001136,0.10426437358164303,-0.12041140590389611,0.06715170262673155,-0.12483107791789644,-0.09830574595867544,-0.05699092022546285,-0.13960284041408086,0.01082289623639168,-0.1894939180006085,0.11688870883078811,0.09458937714802336,0.07956951164401135,0.09239852969409776,-0.03525499598420782,-0.08824698649702198,-0.13797722255346426,-0.04219627242943156,-0.14287459857521054,-0.12547051826900088,-0.14660119610623942,0.09678011155476926,-0.0815907673868885,-0.11629010812085924,0.1270234619727868,0.15547913323281887,0.12890707492169504,-0.031045961677398464,-0.12683870841155656,0.03859201869578761,0.006396440590529708,-0.08200965564144623,-0.058195456221995935,0.05809108036702325,-0.146970836676094,0.04343066387159916,0.15403740353481338,-0.11263834061500731
around,-0.02416698776342306,0.07953185983747119,0.17671115960804243,-0.09052280140666272,0.17374823896902333,-0.07506366632747527,0.06286987751004587,0.04525303698158203,0.15470264375849588,0.015145046186213738,-0.05295694905191563,0.06493217855060976,0.04483722471845337,0.07093922825598832,0.04927099223543808,0.0508650042152176,0.17986928016708534,0.05314747149677438,-0.019467474590766223,0.09153884399349457,0.10443928509610635,0.17070259265796353,0.06495955369056823,0.04732312595709661,0.006920034400601028,0.08840138547623491,-0.06878406794259757,-0.01689338101956077,-0.22790241661069272,-0.06497413776275875,0.06124630659489016,-0.06536324676725376,-0.04433765591422469,-0.13346906298658925,-0.02267994535094989,0.0823607274534805,0.2342720727000772,0.027224071101654233,-0.14457823191762678,0.15576883077755277,0.04995669849272028,0.1142916857159019,-0.13427951751555492,0.08585202627596245,-0.08325002030970471,-0.12242230223402398,0.06757247396102925,-0.07597445253944254,0.06106475615085075,0.06574489969874095
away,0.1346265659712204,0.04268028145498785,-0.03240191992186935,0.12502223128748352,0.14922785943823927,-0.06049249702833268,0.1465480450514267,0.018671073920139433,0.12151790859723437,-0.04870263821180601,0.1275549164528774,-0.14228147417489045,-0.01951541165586933,0.013804950825812947,-0.013215413370880799,0.09687236407540835,0.04890391799646889,-0.05411019384318242,-0.012015985124490505,0.19555218476665867,0.07057855677145902,0.09894679375647322,-0.07101195224588906,0.02400229474530899,-0.10720131746369438,-0.007221475747622166,0.04692161421547355,0.12707524915709004,0.15567324841612382,-0.10896662364086389,-0.26271692747199976,0.09348668966781577,-0.0526431926541512,0.0949847978969507,-0.03596986404941876,-6.45700376140712e-4,0.12507103421093618,-0.04016472830900194,-0.08216485891515043,-0.11508946774000098,0.16393355937037593,0.12675625157429146,0.016573989026349736,-0.03979718048063582,0.051671645381052074,0.2155057512997537,0.11310707850176985,-0.048227628776189295,-0.20519156007881725,-0.006365105447266713
back,0.008461841875238822,0.03717975989202308,0.017694073048420394,-0.15438490581891026,-0.03960536723237193,0.08750744123945747,-0.10557952854430798,-0.0642732208537871,0.24240154641962597,-0.054901049880919935,-0.17106072239499132,-0.060451615087974336,0.09188859811096736,0.04082352609498078,0.04620331710678745,0.05768565690508071,-0.03395499448809262,-0.11954000502601968,-0.19983871409868553,0.05624782213094535,0.007604123428135166,-0.04339998570045408,0.01432126127430981,0.23989608589135805,0.09287069241383099,-0.1424068289890814,-0.20966840743666226,-0.05913148228124898,-0.14076568856607474,-0.1934229966070342,-0.025319151560904734,0.008820879817008704,0.005382898382324616,0.042186247690374136,0.1108460316873418,-0.020625239534406193,-0.11108841471252172,0.06911586566921765,0.13421715581032734,-0.031669342120160114,0.13070177973651081,-0.05208981261616572,0.08985938441654463,-0.12119404157064179,-0.11759884777103914,-0.05341742109454169,0.20955165801591533,0.054592665062760407,-0.20045475231077253,0.014281095215730002
ball,-0.07280070184111183,0.013041194552845307,-0.02400859434330882,-0.1053287711060748,0.040625496019960614,0.14900189401744438,0.045943461676545436,0.16759906301707633,-0.14373131538575143,-0.02386854343713658,-0.1962916017110859,-0.027499798583569532,-0.026900364992205276,0.024671942178344102,-0.07094333839032534,-0.06656138962017223,-0.030502969084797965,0.22441482842268728,-0.23196976414733672,-0.08757004465011066,0.17256453712229697,-0.07452436186323037,0.14646520525965603,0.0017899131293564788,0.0662717657424516,0.020817539011803422,-0.1599210892102168,0.055174007051315824,-0.04450013115873047,0.1421904833709688,-0.18324698758276142,0.025423942124560485,0.056673047179582284,-0.01795923172695698,-0.0420685542168222,-0.07853657750811435,0.0738802008730658,-0.19503343080190563,0.10118138648989002,0.03621355891658073,-0.0365857005856837,-0.025882612567864477,0.14770948762669747,-0.08600320748706693,0.042965114222066246,0.2172381710874226,0.09806059244673727,-0.007653738729420476,0.00389161102678123,-0.00897466377510478
black,0.025256955467616277,0.2135619421294564,-0.05922135960000995,0.05540720576753013,-0.060116595054606634,-0.17711497597520262,-0.09986749432564807,-0.014278899704894725,0.09064189605679286,0.0295091251725503,0.026608835371623493,0.03136090585836203,0.05577586708764037,-0.007328929851631112,0.03179186512074544,0.12325801464381089,0.03951567924556055,-0.09604919656337488,0.07701988506046384,-0.07708208190160674,0.14824444533895315,-0.018975461773485733,-0.047123917410843146,0.04937541933209018,-0.019996002360162798,-0.1313744710730257,0.223654968921704,0.06868716305051407,-0.13874853891490585,-0.019694956401300305,-0.020247942884715323,0.03793841376108374,-0.1247695426812789,-0.16418367231234743,-0.05958204640051711,-0.01605085053511341,-0.024225147921593894,-0.06134120131020342,0.0826234831217974,-0.10096003085174833,-0.12005531774652829,0.17239830414967794,0.025110249804664204,0.004426631888182802,0.07759991213644837,0.03763026321103748,-0.10987502034351702,0.13397960816843216,0.0033043626759426724,0.013927231672160506
